공고,회사명,공고 링크,위치,모집 기한,자격 조건,기술 스택
JB(주)(구 중부도시가스) 2022년 하반기 신입/경력직 채용,제이비㈜,https://www.jobkorea.co.kr/Recruit/GI_Read/39891081?Oem_Code=C1&logpath=1&stext=파이썬&listno=14,충남,~10/14(금),"['신입·경력', '대졸↑', '정규직']","제이비㈜, 가스설비, 결산, 경영지원, 관리회계, 급여관리, 더존, 부가세신고, 세무, 원가회계, 전산회계, 회계, 회계감사, SQL, 데이터마이닝, 네트워크관리, 시스템운영, Linux, Unix, Windows, 웹프로그래머, Java, C#, Java, Linux, Oracle, Python, SQL, Unix, Windows, 모델링, 시스템분석, 시스템설계, 시스템엔지니어, 튜닝, DBA, Python, 인공지능(AI), 빅데이터, 자연어처리(NLP), 건설안전, 산업안전, 시설관리, 안전, 가스점검"
어보브반도체 부문별 신입/경력직 채용,어보브반도체㈜,https://www.jobkorea.co.kr/Recruit/GI_Read/39886619?Oem_Code=C1&logpath=1&stext=파이썬&listno=15,충북 청주시 외,~10/20(목),"['신입·경력', '대졸↑', '정규직']","Android, MCU, 반도체, 반도체장비, 회로설계, IC설계, SoC, 기획, 사업기획, 서비스기획, 전략, 타당성분석, 결산, 경영지원, 더존, 회계, 재무회계, 주식IR, 마케팅, 마케팅기획, 바이럴마케팅, 시장분석, 업무제휴, 외자구매, 원부자재관리, 자재관리, 바이어관리, 수출입계약, 영어, 중국어, 해외영업, 상품기획, 신상품개발, 기술영업, 장비영업, 기술지원, 반도체영업, 거래처관리, 고객관리, 납품관리, 영업지원, 외주관리, 고객응대, 고객지원, CS, 응용프로그래머, C, C#, C++, Python, VisualC, 시스템프로그래머, 어셈블리, 임베디드, 펌웨어, 시스템분석, 시스템설계, 시스템엔지니어, 요구분석, Python, 인공지능(AI), 데이터분석, 소프트웨어, 생산관리, 원가관리, 품질, 품질검사, 품질관리, 품질보증, 기구설계, 기술연구소, 기술직, 디스플레이, 반도체, 생산기술, 연구관리, 연구원, 전기·전자, 제어, 제품개발, 회로설계, 공정엔지니어, 설계엔지니어, 어셈블리, 임베디드, 전기·전자회로, 테스트엔지니어, 펌웨어, 품질엔지니어, 회로설계, Analog, RF, 통신기술, 번역, 영어, 중국어, 통역, 전기·전자, 반도체·LCD, 연구·실험·기술"
[LG그룹]스마트팩토리 /IT인프라 인재채용(미국 근무 예정),㈜비즈테크아이,https://www.jobkorea.co.kr/Recruit/GI_Read/39867430?Oem_Code=C1&logpath=1&stext=파이썬&listno=16,충북 청주시 외,~10/18(화),"['경력4년↑', '대졸↑', '정규직 외']","스마트팩토리, FMS, IT솔루션, MES, QMS, 소프트웨어개발, 솔루션, ERP, 리눅스, Windows, MS-SQL, MySQL, SQL, 네트워크관리, 네트워크엔지니어, 서버관리자, 서버구축, 시스템운영, Linux, Windows, 웹프로그래머, Java, MS-SQL, MySQL, Python, SQL, C#, Java, Linux, Oracle, Python, SQL, Windows, 시스템프로그래머, 시스템분석, 시스템설계, 시스템엔지니어, Python, 빅데이터, 데이터분석, 하드웨어, 소프트웨어, 정보통신·IT, 로봇·자동화"
2022년 하반기 KT&G 6급/원급/9급 신입사원 및 경력사원 모집,㈜케이티앤지,https://www.jobkorea.co.kr/Recruit/GI_Read/39907272?Oem_Code=C1&logpath=1&stext=파이썬&listno=17,대전,~10/28(금),"['신입·경력1년↑', '정규직', '대전 외']","고분자, 공조냉동기계, 브랜드디자인, 사회조사분석사, 산업안전산업기사, 안전공학, 에너지관리, BEMS, 보건공학, 동물실험 또는 동물실험실, 흡입의약품연구, 공공기관, 공기업, 공사, 수질환경, 폐기물처리, 화학, 환경, 교육, 인사, HRD, PHR·국제인사, 재무회계, 하드웨어, 소프트웨어, 회로, 건축, 생명공학, 에너지, 연구원, 제품개발, 플라스틱·PVC, 화학, 환경, R&D, 전기, 전기·전자회로, Analog, Digital, PCB, PLC, RF, 2D, 3D설계, 기구설계, AutoCad, 제약, 의약품, 유전공학, 제품디자인, 패키지디자인, 광고디자인, 시각디자인, 건축설계, 건축시공, 건설안전, 공조냉동, 산업안전, 소방설비, 전기공사, 가스점검, 대기환경, 수질환경, 폐기물처리, 부동산, 부동산개발, 부동산시행, 산업안전기사, 변호사, 심리상담, 심리치료사, 회계, 생명공학, 전기·전자, 정보통신·IT, 환경, 신소재개발, 의료·제약"
하반기 각 부문 정규직 모집,한국갤럽조사연구소,https://www.jobkorea.co.kr/Recruit/GI_Read/39893845?Oem_Code=C1&logpath=1&stext=파이썬&listno=18,대전 중구 외,~10/21(금),"['신입·경력1년↑', '학력무관', '정규직']","조사분석, 기획조사, 마케팅, 마케팅기획, 바이럴마케팅, 데이터베이스, DB2, DBA, DW, MS-SQL, MySQL, OCP, Sybase, 데이터마이닝, 온라인마케팅, .NET, 웹프로그래머, APM, asp, 안드로이드, 액션스크립트, 응용프로그래머, 증강현실, 플래시APP, ActiveX, API, ASP.NET, C, C#Builder, C++, CTI, Unix, 시스템프로그래머, 어셈블리, 임베디드, 펌웨어, 설문조사, 시장조사, 조사분석, 통계, SPSS"
한국전자금융㈜ 각 부문 신입/경력 직원 채용,한국전자금융㈜,https://www.jobkorea.co.kr/Recruit/GI_Read/39837878?Oem_Code=C1&logpath=1&stext=파이썬&listno=19,대전 전지역 외,~10/13(목),"['신입·경력', '학력무관', '계약직']","모바일앱개발, 소프트웨어개발, 솔루션, ISP, 자동차영업, 제안·컨설팅, 아이폰, 안드로이드, Linux, Windows, 자동차정비"
2022 하반기 신입사원 채용,코웨이㈜,https://www.jobkorea.co.kr/Recruit/GI_Read/39934007?Oem_Code=C1&logpath=1&stext=파이썬&listno=20,충남 공주시 외,~10/25(화),"['신입', '대졸↑', '정규직']","국내영업, 기획, 생산관리, 인사, CS, 소프트웨어, 백엔드개발, 상품개발, 서비스개발, 온라인영업, GIT, Kotlin, 구매관리, SCM, 상품기획, 영업관리, 영업기획, 빅데이터, 데이터분석, 정보통신·IT, 3D설계, catia"
[아드반테스트코리아] 2022년 하반기 경력/신입사원 채용,아드반테스트코리아㈜,https://www.jobkorea.co.kr/Recruit/GI_Read/39911363?Oem_Code=C1&logpath=1&stext=파이썬&listno=21,충남 천안시 외,~10/30(일),"['신입·경력3년↑', '대졸↑', '정규직 외']","알고리즘, 인터페이스, 반도체장비, 국내영업, 기술영업, 기술영업, 기술지원, 반도체영업, 신기술영업, 고객관리, 영업관리, 영업지원, 외주관리, 검증, 리눅스, 유닉스, 테스터, QA, Java, Python, Java, Python, 임베디드, 펌웨어, PLC, 자바스크립트, 품질, 품질관리, 품질보증, QA, 생산기술, 메카트로닉스, 연구관리, 연구원, 전기·전자, 회로설계, LCD, LED·AMOLED, PCB, R&D, 설계엔지니어, 유지보수, 전기, 전기·전자회로, 테스트엔지니어, 회로설계, 기구설계, 전기설계, Pro-e, 기술지원, 유지보수, 전기·전자, 연구·실험·기술, 제조·공정"
포항공과대학교 포항가속기연구소 정규직 직원 채용[행정직],포항공대가속기연구소,https://www.jobkorea.co.kr/Recruit/GI_Read/39895581?Oem_Code=C1&logpath=1&stext=파이썬&listno=22,대전,~10/26(수),"['신입·경력', '대졸↑', '정규직']","QT, 빔라인, 공공기관, 공기업, 국립대학교, 관리, 문서수발, 비품관리, 사무관리, 사무행정, 시설관리, 자산관리, 목표관리, 인재개발, 직무분석, 문서관리, 문서작성, 사무보조, 전산입력, 경리, 경영지원, 세무, 판매관리, ABAP, Application, ASP.NET, C, C#, C++, C++Builder, Linux, PowerBuilder, Pro-C, Python, Unix, VB.NET, VisualC++, Win32, 가상현실, 기계, 기구설계, 연구관리, 연구원, 기구설계, 기술연구소, 기술직, 디스플레이, 메카트로닉스, 반도체, 생산기술, 연구관리, 연구원, 전기·전자, 정보통신·IT, 제어, 제품개발, 터치스크린, 회로설계, LCD, LED·AMOLED, R&D, 기구설계, 기술연구소, 기술직, 생명공학, 실험, 연구관리, 연구원, 제품개발, 환경, R&D, 검사, 기술지원, 설치, 수리, 유지보수, 정비, A·S, 영어, TEPS, TESOL, TOEFL, TOEIC"
2022년 한국유미코아 각 부문별 연구소/ 엔지니어 채용,한국유미코아 유한책임회사,https://www.jobkorea.co.kr/Recruit/GI_Read/39947030?Oem_Code=C1&logpath=1&stext=파이썬&listno=23,충남 천안시,~10/31(월),"['신입·경력', '대졸↑', '정규직']","전기, 전기기술, 전자, 제어, 교육, 인사, 인사통합, 인재개발, 내부통제, 재무, 재무기획, 재무회계, 공정관리, 자재관리, 품질, 품질검사, 품질관리, 품질보증, 전기·전자, 연구·실험·기술, 제조·공정, 화학·섬유"
